Unnamed: 0,text,label
50,chất_lượng sản_phẩm tốt giao hàng nhanh đóng_gói sản_phẩm cẩn_thận,"[1, 0, 0, 1, 0, 0, 0]"
51,bọc chống xốc đầy_đủ móp hxjxjjcjcjcjcjcjjc hàng ok xhxjxjjcjcjc,"[1, 0, 0, 0, 0, 0, 0]"
52,giao hàng nhanh đóng_gói sản_phẩm cẩn_thận hình_ảnh liên_quan chúc bán đk hàng,"[1, 0, 0, 0, 0, 0, 0]"
53,mua 4 hộp sữa che mã_vạch giao hàng nhanh tận_tình ủng_hộ dài_dài nha lười chụp hình,"[1, 0, 1, 0, 1, 0, 0]"
54,mua thứ n chả bbiết nói bbiết nhanh nhiệt_tình,"[1, 0, 0, 0, 1, 0, 0]"
55,gói hàng chắc_chắn sản_phẩm thật tốt giao hàng thật nhanh,"[1, 0, 0, 1, 0, 0, 0]"
56,sữa dê ưithmom tem chống hàng giả cty phương linh đóng_gói hàng cẩn_thận móp méo đc tặng yếm ăn dặm dễ_thương,"[0, 0, 1, 0, 1, 0, 0]"
57,giao hàng siêu nhanh mua t3,"[1, 0, 0, 0, 0, 0, 0]"
58,mua n okeeeee hiii chất_lượng khỏi bànn hihiii đánh_giá nhận xu hoyyyy cám_ơn aạaaaa ảnh lấy tạm ạ,"[0, 0, 0, 1, 0, 0, 0]"
59,nhận hàng giao hàng nhanh đóng_gói cẩn_thận chất_lượng sản_phẩm giá tiền dùng biết chất_lượng ok con thích ủng_hộ,"[1, 0, 0, 0, 0, 0, 0]"
60,chất_lượng sản_phẩm y hình giao hàng nhanh,"[1, 0, 1, 0, 0, 0, 0]"
61,gửi hàng nhanh đóng_gói chắc_chắn vận_chuyển về móp một xíu uống biết chất_lượng sữa tn,"[1, 0, 0, 0, 0, 0, 0]"
62,nhớ mua thứ bao_nhiêu,"[0, 0, 0, 0, 0, 0, 1]"
63,sữa thơm ngon hoa_quả date xa gói hàng cẩn_thận tiếp_tục ủng_hộ,"[1, 0, 0, 1, 0, 1, 0]"
64,nhìn bên ngoài ok dùng biết giao cực lâu xém định huỷ đơn,"[1, 0, 0, 1, 0, 0, 0]"
65,đóng_gói chắc_chắn giao hàng nhanh,"[1, 0, 0, 0, 0, 0, 0]"
66,chat luong oki giao hang nhanh da mua nhieu lan ung hộ dai,"[1, 0, 0, 1, 0, 0, 0]"
67,dhhgjj guuegh jhdjjjh vhgdtt hhdrtu hitedf jgđtu cret gfuy ggggh,"[0, 0, 0, 0, 0, 0, 0]"
68,giao hàng nhanh check dc mã_vạch mở nắp biết chất_lượng thế_nào đóng_gói chăc chắn,"[1, 0, 1, 0, 0, 0, 0]"
69,đóng_gói hàng kỹ giao hàng nhanh giá tốt hạn_dùng xa mua nhu_cầu,"[1, 1, 0, 0, 0, 1, 0]"
70,date mới đóng hàng cẩn_thận hi_vọng bé thích,"[1, 0, 0, 0, 0, 1, 0]"
71,hàng đóng_gói okie sản_phẩm sử_dụng biết _thế_ mua đứa em sử_dụng phản_hồi nghe nói sữa abbot tốt mua thử xem,"[1, 0, 0, 0, 0, 0, 0]"
72,sản_phẩm chất_lượng giá_cả phải_chăng mua ở thất_vọng,"[0, 1, 0, 1, 0, 0, 0]"
73,giao hàng lâu rep tin nhắn khách sữa date xa nâng cao chất_lượng phục_vụ khách_hàng hơn_nữa động_viên 5sao,"[1, 0, 0, 0, 1, 1, 0]"
74,đóng_gói cẩn_thận sữa chuẩn date xa mua tiếp_tục ủng_hộ,"[1, 0, 1, 0, 0, 1, 0]"
75,mua thứ gói hàng siêu cẩn_thận ủng_hộ tới,"[1, 0, 0, 0, 0, 0, 0]"
76,sữa kid essential hàng đi air nội_địa úc 800gr dành trẻ tuổi biếng ăn còi_xương sữa béo kid essentials mẹ hỏi sữa về tăng cân con e giới_thiệu dòng sữa béo nhận phản_hồi tốt ạ,"[0, 0, 0, 0, 0, 0, 0]"
77,nắp bạc nhăn_nheo,"[0, 0, 0, 0, 1, 0, 0]"
78,giao hàng nhanh gói hàng kỹ mua chu_đáo,"[1, 0, 0, 0, 0, 0, 0]"
79,ship nhanh giá rẻ hàng chuẩn trả_lời khách nhanh thứ n mua,"[1, 1, 1, 0, 1, 0, 0]"
80,chất_lượng tốt chất_lượng tốt chất_lượng tốt chất_lượng tốt chất_lượng tốt chất_lượng tốt,"[0, 0, 0, 1, 0, 0, 0]"
81,sữa date dài đóng_gói chắc_chắn giao hàng nhanh_chóng ủng_hộ dài,"[1, 0, 0, 1, 0, 1, 0]"
82,sản_phẩm uống hết r kịp nêu cảm_nhận,"[0, 0, 0, 0, 0, 0, 1]"
83,giao đủ hàng chút nhầm_lẫn thành đề ủng_hộ tiếp_tục,"[1, 0, 0, 0, 0, 0, 0]"
84,hàng giao nhanh chất_lượng tốt 3,"[1, 0, 0, 1, 0, 0, 0]"
85,hàng mẫu đóng_gói cẩn_thận dùng thử ng mẫu_mã bên ngoài giống mẫu,"[1, 0, 1, 0, 0, 0, 0]"
86,gói hàng cẩn_thận giao hàng nhanh con tv uống sữa đỡ táo hẳn,"[1, 0, 0, 0, 0, 1, 0]"
87,luôn ủng_hộ chất_lượng giá_cả hợp_lý,"[0, 1, 0, 1, 0, 0, 0]"
88,đóng_gói cẩn_thận hộp sữa móp,"[1, 0, 0, 0, 0, 0, 0]"
89,chat luong san pham tot dong goi hang can than giao hang nhanh,"[1, 0, 0, 1, 0, 0, 0]"
90,chất_lượng ok giống bỉm ở khác mua tuy_nhiên đóng kèm quà tặng,"[0, 0, 0, 1, 1, 0, 0]"
91,nhận đc sữa tốt ủng_hộ tiếpjjhjjgjgjgjgfjfjfjfjdjdjdjd,"[0, 0, 0, 1, 0, 0, 0]"
92,gói hàng cẩn_thận date xa,"[1, 0, 0, 0, 0, 1, 0]"
93,mua hàng bên mua trong th gấp ch chủ luôn hỗ_trợ kịp_thời cảm_ơn ch chúc ch kinh_doanh hồng phát,"[0, 0, 0, 0, 1, 0, 0]"
94,chất_lượng oki kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,"[0, 0, 0, 1, 0, 0, 0]"
95,thời_gian giao hàng nhanh chất_lượng sản_phẩm tốt đóng_gói cẩn_thận,"[1, 0, 0, 1, 0, 0, 0]"
96,giá rẻ e bé hợp_tác buồn giao hàng nhanh ủng_hộ,"[1, 1, 0, 0, 0, 0, 0]"
97,đóng_gói cẩn_thận giao hàng nhanh giá rẻ check mã biết thật giả bé hợp_tác ủng_hộ dài,"[1, 1, 0, 0, 0, 0, 0]"
98,jsjdsijso dksjs dksns ksks sọ diwj điehneoe sshdi eidj eisj,"[0, 0, 0, 0, 0, 0, 0]"
99,sp đóng_gói cẩn_thận date 2022 vote 5,"[1, 0, 0, 0, 0, 1, 0]"
100,sản_phẩm chất_lượng tốt đóng_gói cẩn_thận giao hàng nhanh_chóng,"[1, 0, 0, 1, 0, 0, 0]"
101,ảnh lấy tạm ảnh khác đóng_gói đẹp giao nhanh date dài thank,"[1, 0, 0, 1, 0, 1, 0]"
102,hàng tốt date xa,"[0, 0, 0, 1, 0, 1, 0]"
103,đóng_gói sp chắc_chắn sữa thơm ngon tiếc bé nhà e chịu hợp_tác,"[1, 0, 0, 1, 0, 0, 0]"
104,sữa móp đánh_giá 5 dc,"[1, 0, 0, 0, 0, 0, 0]"
105,nhận hàng mở sử_dụng đánh_giá đc,"[0, 0, 0, 0, 0, 0, 1]"
106,hàng tốt chất_lượng ok 5sao nha nhà iu kem mặn nhận 200 xu ố la,"[0, 0, 0, 1, 0, 0, 0]"
107,sp giống mua date xa ok lắm,"[0, 0, 0, 1, 0, 1, 0]"
108,mua ủng họp lâu_dài,"[0, 0, 0, 0, 0, 0, 1]"
109,sản_phẩm tốt sữa thơm pha giao hàng nhanh,"[1, 0, 0, 1, 0, 0, 0]"
110,biết s dùng eo gắn bột milo đc mịn đc ngon lắm bé thích,"[0, 0, 0, 1, 0, 1, 0]"
111,hàng ok dong gói ok nói_chung rẻ giá ở thị_trường check ma vạch,"[0, 1, 1, 1, 0, 0, 0]"
112,biết đến yubest m trung_thành nó dòng bỉm mỏng nhẹ thấm hút tốt giá_cả phải_chăng mua ah,"[0, 1, 0, 1, 0, 0, 0]"
113,đầu mua tem chống hàng giả yên_tâm date dài ủng_hộ,"[0, 0, 1, 0, 0, 1, 0]"
114,giao hàng nhanh shiper thân_thiện đóng_gói cẩn_thận đủ số_lượng,"[1, 0, 0, 0, 1, 0, 0]"
115,giao hàng nhanh mua sữa ở mong hàng chuẩn thôi,"[1, 0, 0, 0, 0, 0, 0]"
116,mua sale rẻ ở ngoài mấy chục lận mặc_dù con lon sữa sp tem đầy_đủ,"[0, 1, 1, 0, 0, 0, 0]"
117,sản_phẩm tốt đóng_gói cẩn_thận giao hàng oke mọi người mua,"[1, 0, 0, 1, 0, 0, 0]"
118,nhận đc hàng ship cbi đồ siêu nhanh 6h tối_qua đặt sáng 9h nhận đc r bọc gói kỹ date mới biết móp vs giá sale thái_độ phục_vụ xứng_đáng 5 thanks,"[1, 1, 0, 0, 1, 1, 0]"
119,hộp nguyên_vẹn giao hàng chậm tí bé uống sữa ngoài ngày,"[1, 0, 0, 0, 0, 0, 0]"
120,đóng_gói cẩn_thận sữa hsd xa cảm_ơn ppppppppppppp,"[1, 0, 0, 0, 0, 1, 0]"
121,sản_phẩm ok mong hàng chuẩn,"[0, 0, 0, 1, 0, 0, 0]"
122,mua hàng ok giao sữa date cũ lô nói_chung ok,"[0, 0, 0, 1, 0, 1, 0]"
123,date xa đóng_gói sp chắc_chắn giao hàng nhanh hình_ảnh mang tc nhận xu,"[1, 0, 0, 0, 0, 1, 0]"
124,đóng_gói chắc_chắn giao hàng chậm cảm_ơn shopppppppppp,"[1, 0, 0, 0, 1, 0, 0]"
125,dùng đánh_giá đk có_vẻ ok chugyfgghuuuuuhhhh,"[0, 0, 0, 0, 0, 0, 1]"
126,đóng_gói chắc_chắn kĩ_càng dán chặt,"[1, 0, 0, 0, 0, 0, 0]"
127,giao hàng nhanh đóng_gói hàng cẩn_thận date tháng 3 2021,"[1, 0, 0, 0, 0, 1, 0]"
128,ok nha date cũ mua bên mall hàng chuẩn chính_hãng dc hoàn xu,"[0, 0, 1, 1, 0, 0, 0]"
129,khác bao_bì mấy lon mua ở quét mã thông_tin đúng vị thơm ngon,"[0, 0, 1, 1, 0, 0, 0]"
130,chất_lượng sản_phẩm tốt giao hàng nhanh gói hàng chắc_chắn,"[1, 0, 0, 1, 0, 0, 0]"
131,nhận hàng đóng_gói chắc_chắn giao hàng nhanh slsjwhaj,"[1, 0, 0, 0, 0, 0, 0]"
132,sp tốt mua giá flash sale đóng_gói sản_phẩm đẹp chắc_chắn date xa,"[1, 1, 0, 1, 0, 1, 0]"
133,thời_gian giao hàng nhanh đóng_gói sản_phẩm chắc_chắn sản_phẩm tốt mua,"[1, 0, 0, 0, 0, 0, 0]"
134,giao hàng siêu nhanh đóng_gói chắc_chắn date xa_lắc luôn hi_vọng con hợp sữa tăng cân ủng_hộ,"[1, 0, 0, 1, 0, 1, 0]"
135,hàng tốt giao hàng nhanh đóng_gói sản_phẩm chắc_chắn đáng tiền,"[1, 1, 0, 1, 0, 0, 0]"
136,video mang tính_chất nhận xu ạ hihi vỏ gối dùng thích lắm ạ dày_dặn mọi ngươgi mua nhé,"[0, 0, 0, 0, 1, 0, 0]"
137,giao hàng nhanh đóng_gói tương_đối hạn_dùng xa 2021 hài_lòng,"[1, 0, 0, 1, 0, 1, 0]"
138,hàng y hình đóng_gói hàng cẩn_thận thời_gian giao hàng nhanh mua giá sale ưng_ý chất lg tốt mua ok,"[1, 1, 1, 0, 0, 0, 0]"
139,giao hàng nhanh đóng_gói sản_phẩm cẩn_thận chất_lượng sử_dụng biết thế_nào,"[1, 0, 0, 0, 0, 0, 0]"
140,sản_phẩm giống y hình đóng_gói móp méo phù_hợp túi_tiền ủng_hộ,"[1, 1, 1, 0, 0, 0, 0]"
141,mua 3 rùi ưng tiếp_tục ủng_hộ,"[0, 0, 0, 0, 0, 0, 1]"
142,nhận hàng giáo hàng nhanh đóng_gói cẩn_thận giá ưu_đãi chất_lượng dùng giám nhận_xét ủng_hộ chất_lượng tốt,"[1, 1, 0, 0, 0, 0, 0]"
143,đóng_gói chắc_chắn giao siêu nhanh hàng công_ty đỡ lo trúng hàng giả,"[1, 0, 1, 0, 0, 0, 0]"
144,hàng chuẩn chính_hãng đóng_gói cẩn_thận ủng_hộ,"[1, 0, 1, 0, 0, 0, 0]"
145,giao hàng nhanh bỉm dùng thích ủng_hộ sp tiếp dùng,"[1, 0, 0, 1, 0, 0, 0]"
146,uống lên_cân,"[0, 0, 0, 0, 0, 0, 1]"
147,chât lương tốt đong goi đẹp ủng_hộ,"[1, 0, 0, 1, 0, 0, 0]"
148,sản_phẩm săn sale tuyệt_vời sử_dụng nhưngx bạn nhu_cầu mua nhé thích chọn thời_điểm thích_hợp mua sale mã giảm,"[0, 0, 0, 0, 0, 0, 1]"
149,giao hàng nhanh đóng_gói cẩn_thận ủng_hộ uy_tín chất_lượng tốt,"[1, 0, 0, 1, 1, 0, 0]"
150,mua lần_lần móp xíu chắc bên vận_chuyển đóng_gói kỷ nè thanks nha,"[1, 0, 0, 0, 0, 0, 0]"
151,ủng_hộ ủng_hộ ủng_hộ ủng_hộ ủng_hộ,"[0, 0, 0, 0, 0, 0, 0]"
152,giao hàng nhanh chất_lượng sản_phẩm tốt ủng_hộ tiếp,"[1, 0, 0, 1, 0, 0, 0]"
153,đóng_gói đẹp giao hàng nhanh quà tặng balo đẹp lắm nha mua kèm deals 0 đồng,"[1, 1, 0, 0, 1, 0, 0]"
154,bỉm ok mọi_khi có_điều mùi nồng,"[0, 0, 0, 1, 0, 1, 0]"
155,hàng chuẩn giao hàng nhanh bé nhà mk thích uống mk ủng_hộ tiếp thank,"[1, 0, 1, 0, 0, 0, 0]"
156,giao đúng hàng đóng_gói ổn,"[1, 0, 0, 0, 0, 0, 0]"
157,chịu ảnh_hưởng,"[0, 0, 0, 0, 0, 0, 0]"
158,giao hàng nhanh lắm luôn mặc_dù ở hà_nội ở tp hcm date xa đúng mô_tả giá tốt,"[1, 1, 0, 0, 0, 1, 0]"
159,xin chào chuyên hàng auth tuồn quảng châu xuất xịn mời mọi người ghé xem đồ nhaaaaa ️ ️,"[0, 0, 0, 0, 0, 0, 0]"
160,vỏ sữa khác khác xuất_xứ khác nhau mong nhàng tốt ủng_hộ tiếp giao hàng cực nhanh gói hàng cẩn_thận,"[1, 0, 0, 0, 0, 0, 0]"
161,bỉm tốt giá rẻ hình_ảnh mag tính_chất câu xu 12345,"[0, 1, 0, 1, 0, 0, 0]"
162,giao hàng nhanh đóng_gói cẩn_thận sản_phẩm chất_lượng date mới mẫu_mã mới đẹp,"[1, 0, 0, 1, 0, 1, 0]"
163,minh mua roi chất_lượng tốt date xa giao hàng nhanh nnnnnnnmnnnnnnnn,"[1, 0, 0, 1, 0, 1, 0]"
164,ok mua ở ủng_hộ dài_dài dvvc đợt lâu xíu,"[1, 0, 0, 0, 0, 0, 0]"
165,mua sữa ở thật_sự tệ trong tphcm 4 ngày mới nhận đc đóng hàng cẩn_thận vỏ hộp giấy bên trong mố méo đủ kiểu,"[1, 0, 0, 0, 0, 0, 0]"
166,giao hangg nhậnhbdnsnsnnsnsnsnkskdnsjsjsnnsndnndndjdkd,"[0, 0, 0, 0, 0, 0, 0]"
167,mua ủng_hộ tiếp,"[0, 0, 0, 0, 0, 0, 1]"
168,giao hàng nhanh date dài,"[1, 0, 0, 0, 0, 1, 0]"
169,hàng giao nhanh đóng_gói kỹ giá hợp_lý phục tốt,"[1, 1, 0, 0, 1, 0, 0]"
170,đóng_gói kỹ giao hang nhanh chăm_sóc khách_hàng tốt mua nhìu,"[1, 0, 0, 0, 1, 0, 0]"
171,giao hàng nhanh sữa thay_đổi mẫu date xa mua,"[1, 0, 0, 0, 0, 1, 0]"
172,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm chắc_chắn thời_gian giao hàng nhanh cảm_ơn tiếp_tục ủng_hộ ạ,"[1, 0, 0, 1, 0, 0, 0]"
173,gói hàng cẩn_thận lắm nha giao nhanh luôn sữa date 2022 giá mềm thanks,"[1, 1, 0, 1, 0, 1, 0]"
174,đầu mua sữa online giá rẻ mua trong siêu_thị mở hộp sữa độ thơm sữa bằng hộp sưa mik mua ở sthi,"[0, 1, 0, 1, 0, 0, 0]"
175,mua 3 ở oki,"[0, 0, 0, 1, 0, 0, 1]"
176,giao hàng lâu,"[1, 0, 0, 0, 0, 0, 0]"
177,mua hàng giao nhanh gói kỹ giá_cạnh_tranh thông_báo giảm_giá liên_tục uy_tín,"[1, 1, 1, 0, 0, 0, 0]"
178,chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời,"[0, 0, 0, 1, 0, 0, 0]"
179,giao hàng nhanh đóng_gói cẩn_thận thanks nhé hhhhhhhh,"[1, 0, 0, 0, 0, 0, 0]"
180,đóng_gói thận giao hàng nhanh nay miễn ship giá cao mọi_khi,"[1, 1, 0, 0, 0, 0, 0]"
181,sản_phẩm đúng mọi tả đóng_gói chắc_chắn giá_cả hợp_lý tiếp_tục ủng_hộ ️,"[1, 1, 1, 0, 0, 0, 0]"
182,giao hàng cực nhanh nhaaaaaaaaaaaa sữa check code đc hhahahahahahahaha,"[1, 0, 1, 0, 0, 0, 0]"
183,chất_lượng tuyệt_vời mua ở hộp méo mua cải_thiện giao hàng nhanh,"[1, 0, 0, 1, 0, 0, 0]"
184,date tháng 052021 chất_lượng sản_phẩm tuyệt_vời đóng_gói chắc_chắn,"[1, 0, 0, 1, 0, 0, 0]"
185,đóng_gói chắc_chắn giao hàng sẻ mất tgian lâu bạn muốn đặt đặt sớm vài ngày trc hết sữa,"[1, 0, 0, 0, 0, 0, 0]"
186,hàng đẹp lắm ưng mua jsjdjjdksldkdnkdkdj,"[0, 0, 0, 1, 0, 0, 0]"
187,ngon bổ rẻ mua sản_phẩm,"[0, 1, 0, 1, 0, 0, 0]"
188,ba hộp móp ảnh_hưởng tới sữa bên trong hôm_qua mới mở hộp đầu_ra bé uống mùi sữa thơm ngậy,"[1, 0, 0, 1, 0, 0, 0]"
189,to bao gạo nhận hàng giật bác ạ dùng thử angel night nay thử gold con đóng ngày đóng thử thấm hút thua xa night đóng xong con nổi i mụn ở gần khu_vực hậu_môn ẩm mông mặc_dù đóng tiếng 0p,"[0, 0, 0, 1, 0, 1, 0]"
190,đóng_gói cẩn_thận thời_gian giao hàng nhanh sử_dụng ok ủng_hộ dài_dài,"[1, 0, 0, 1, 0, 0, 0]"
191,sữa đóng bọc chắc_chắn móp méo hết hàng giao há nhanh ủng_hộ,"[1, 0, 0, 0, 0, 0, 0]"
192,chất_lượng sản_phẩm tốt giao hàng đóng_gói cẩn_thận chúc ngày_càng phát_triển hơn_nữa,"[1, 0, 0, 1, 0, 0, 0]"
193,mua mấy đóng_gói ưng bé uống hợp ủng_hộ sh,"[1, 0, 0, 0, 0, 0, 0]"
194,sữa thơm ngon béo ngậy trộm_vía bé hợp lắm mẹ_con biếng ăn thử nha,"[0, 0, 0, 1, 0, 0, 0]"
195,lon sữa móp đóng gơi kỹ,"[1, 0, 0, 0, 0, 0, 0]"
196,giá_thành rẻ date xa đóng_gói cẩn_thận giao hàng nhak,"[1, 1, 0, 0, 0, 1, 0]"
197,hàng tốt đóng bọc cẩn thânh chất_lượng khỏi bàn mua sữa thơm ngon lắm ạ đặt hôm hôm nhận luôn tks,"[1, 0, 0, 1, 0, 0, 0]"
198,mua bé hết bón ít bệnh vặt hấp_thu tốt,"[0, 0, 0, 0, 0, 1, 0]"
199,date xa bột siêu mịn thơm pha ngậy dã mann ngọt lắm đúng tiêu_chí dùng đồ ít đường có_điều pha xong cốc rửa xà_phòng toàn mùi sữa ngậy hủng_hiếp luôn,"[0, 0, 0, 1, 0, 1, 0]"
200,diễn_tả,"[0, 0, 0, 0, 0, 0, 1]"
201,sữa thơm sánh bé nhà thích vị đóng_gói cẩn_thận giao hàng nhanh lắm,"[1, 0, 0, 1, 0, 0, 0]"
202,sp tốt chất_lượng giá rẻ cực nhiệt_tình tặng quà đáng yêu mua tiếp,"[0, 1, 0, 1, 1, 0, 0]"
203,sản_phẩm ok đóng_gói kĩ giao hàng nhanh thaks,"[1, 0, 0, 1, 0, 0, 0]"
204,dùng sữa ok mọi người ơi,"[0, 0, 0, 1, 0, 0, 0]"
205,hàng đúng rẻ bên ngoài check ok thử xem bé chịu ủng_hộ tiếp,"[0, 1, 1, 0, 0, 0, 0]"
206,đóng_gói siêu chắc_chắn vận_chuyển nhanh date dài,"[1, 0, 0, 0, 0, 1, 0]"
207,okokokokoko kokkkkko kokkk okokokokokkkkokkskxkckssicjzlxkjckcox,"[0, 0, 0, 1, 0, 0, 0]"
208,tin_tưởng mua sản_phẩm shopp,"[0, 0, 0, 0, 0, 0, 1]"
209,thời_gian giao hàng nhanh đóng_gói sản_phẩm chắc_chắn giá_thành tạm,"[1, 1, 0, 0, 0, 0, 0]"
210,hàng nhận mô_tả tem nhập chính_hãng,"[0, 0, 1, 0, 0, 0, 0]"
211,giao nhanh hàng nhìn chuẩn sử_dụng,"[1, 0, 1, 0, 0, 0, 0]"
212,hộp sữa mang về giống y_chang hộp mua ở kidsplaza tem đến nhãn phụ luôn ý,"[0, 0, 1, 0, 0, 0, 0]"
213,sản_phẩm tốt,"[0, 0, 0, 1, 0, 0, 0]"
