Unnamed: 0,text,label
2980,bỉm thấm hút kém dễ tràn mặc loại bỉm khác mặc bỉm bobby y_như ràng tràn dính quần mặc_dù bỉm đầy vần tràn thậm_chí mới mặc em ị tràn r dùng dùng bực tiếc tiền kinh_khủng,"[0, 0, 0, 1, 0, 0, 0]"
2981,sữa ngọt dịu mùi thơm bé dễ uống dễ tiêu_hoá bán giá rẻ coupon giảm_giá thích cảm_ơn,"[0, 1, 0, 1, 1, 0, 0]"
2982,sp tốt hài_lòng mua,"[0, 0, 0, 0, 0, 0, 1]"
2983,0k date mới nha mn mua nha mn tuyệt,"[0, 0, 0, 0, 0, 1, 0]"
2984,trong deal nói tặng một thố lock lock gứi hàng giải_thích dùm,"[0, 0, 0, 0, 1, 0, 0]"
2985,chất_lượng ok,"[0, 0, 0, 1, 0, 0, 0]"
2986,đóng_gói kĩ hàng chất_lượng uy_tín nói,"[1, 0, 1, 1, 0, 0, 0]"
2987,ghi tặng hươu_cao_cổ gửi về kèm sữa con thú khác đúng j quảng_cáo,"[0, 0, 0, 0, 1, 0, 0]"
2988,sản_phẩm tốt thấm hút tốt gọn_nhẹ chất_lượng cao,"[0, 0, 0, 1, 0, 0, 0]"
2989,sp dùng êm,"[0, 0, 0, 1, 0, 0, 0]"
2990,hàng chính_hãng chất_lượng giá rẻ giao hang nhanh se tiếp_tục mua,"[1, 1, 1, 1, 0, 0, 0]"
2991,hàng kém chất_lượng thất_vọng,"[0, 0, 0, 1, 0, 0, 0]"
2992,giao hàng nhanh đóng_gói sản_phẩm cẩn_thận tã dán nb huggies mềm dùng bé sơ_sinh ok,"[1, 0, 0, 1, 0, 0, 0]"
2993,giao hàng nhanh giay tốt đúng mô_tả ủng_hộ,"[0, 0, 0, 0, 0, 0, 0]"
2994,giao hàng đúng ngày minh mua giá tốt sản_phẩm tốt,"[1, 1, 0, 1, 0, 0, 0]"
2995,bé hâm lưng hằn vết sử_dụng ngược_lại mỏng mau đầy sản_phẩm loại một đêm bé tiêu,"[0, 0, 0, 1, 0, 1, 0]"
2996,mua combo 3 bịch bỉm đại giao hàng nhanh hôm đặt tặng kèm bộ_đồ chơi tàu_hoả bằng gỗ nhận hàng,"[1, 0, 0, 0, 1, 0, 0]"
2997,bỉm thấm hút tốt dùng bỉm quần bé lằn tã dán ok,"[0, 0, 0, 1, 0, 0, 0]"
2998,thấm hút tốt giá tốt quà tặng sfjmmnfxhj,"[0, 1, 0, 1, 1, 0, 0]"
2999,bé nhà nhỏ chủ_yếu dùng huggies tuy_nhiên thích mùi tã nồng,"[0, 0, 0, 1, 0, 0, 0]"
3000,giao nhanh ngày dự_kiến,"[1, 0, 0, 0, 0, 0, 0]"
3001,mua 3 bịch bỉm thanh_toán đủ tiền quà nhận đủ bỉm giao thiếu bịch gọi đt tổng_đài đợi chuyển trả bịch bỉm,"[1, 0, 0, 0, 1, 0, 0]"
3002,giao hàng cực nhanh đóng_gói chắc_chắn good,"[1, 0, 0, 0, 0, 0, 0]"
3003,bữa_nay đóng_gói xấu mới nhận biết bên trong,"[1, 0, 0, 0, 0, 0, 0]"
3004,bỉm thoáng mỏng cảm_giác bé mặc dễ_chịu tè ít hô_ráo tuy_nhiên bỉm mỏng phù_hợp hi bé tè về đêm sáng dậy bỉm bõng bõng nước tràn ngoài bé 9g bắp_đùi to mặc size xl,"[0, 0, 0, 1, 0, 0, 0]"
3005,toàn mua combo cháu ở nhà giá_cạnh_tranh đóng_gói vận_chuyển tốt vô_cùng,"[1, 1, 0, 0, 0, 0, 0]"
3006,giao hàng nhanh quà tặng đẹp chất_lượng sữa thử biết,"[1, 0, 0, 0, 1, 0, 0]"
3007,khuyến_mãi giá chấp_nhận mua pamper nhưnh ít quà tặng nhãn hàng,"[0, 1, 0, 0, 1, 0, 0]"
3008,hàng y hình thích ủng_hộ tiếp_tục cảm_ơn ️,"[0, 0, 1, 0, 0, 0, 0]"
3009,sản_phẩm tiện_lợi người dùng mẫu_mã bắt_mắt dễ sử_dụng,"[0, 0, 0, 1, 0, 0, 0]"
3010,xài tot mua giao hàng lâu luôn,"[1, 0, 0, 1, 0, 0, 0]"
3011,tôi đánh_giá sản phầm 5 cách phục_vụ đơn hàng giao nhanh h về thời_gian giao hàng chuẩn cam_ết _ tôi một_số điểm ổn thứ tôi đặt hang giao nhanh đăc điểm chung hàng giao nhanh bụi bẩn _ đặt 3 lon enfa móp méo lon nắp bụi thứ hai về chương_trình huyến_mại mua lon tặng gối bông 3 lon tặng bàn học ghi đến hết quà tôi hợp_lý biết quà hay _thể hoàn_toàn cài hệ_thống báo ch_hàng đặt hoặc bỏ luôn thông_báo iểu _ gây hiểu lầm tôi định đặt lon cố đặt luôn 3 lon chương_trình nhận hàng thất_vọng,"[1, 0, 0, 1, 1, 0, 0]"
3012,giao hàng chậm tuần bỉm size nhỏ_bé 9kg đặt xl i mom cân_nhắc size bé vạch báo tả tràn bỉm mỏng đồ_chơi đẹp con thích,"[1, 0, 0, 1, 1, 0, 0]"
3013,mua tặng kèm hộp thuỷ_tinh nhận chán,"[0, 0, 0, 0, 1, 0, 0]"
3014,tã oke bạn dùng chho con loại tã vote 5,"[0, 0, 0, 1, 0, 0, 0]"
3015,bỉm mới date xa đóng_gói cẩn_thận size l trẻ 9kg đến 14kg bé ở nhà 10 5kg mặc_m giác chật bobby l mặc thoải_mái bobby mùi hương dễ_chịu vốn cục tràn ý_kiến cá_nhân tả bobby chất_lượng,"[1, 0, 0, 1, 0, 1, 0]"
3016,tã quần bobby gói cực_đại l54 sử_dụng tốt sạch_sẽ thoáng mát phù_hợp bé,"[0, 0, 0, 1, 0, 1, 0]"
3017,giao hàng nhanh bỉm mỏng loại cũ mua 445k giá_cả hợp_lý,"[1, 1, 0, 1, 0, 0, 0]"
3018,mua ủng_hộ tiếp_tục,"[0, 0, 0, 0, 0, 0, 1]"
3019,giá giảm 50 mua nhìu bé dùng dần date cũ bao_bì mới sp dùng tốt tiếp_tục ủng_hộ,"[0, 1, 0, 1, 0, 1, 0]"
3020,ok lam,"[0, 0, 0, 0, 0, 0, 1]"
3021,dùng thấm hút tốt,"[0, 0, 0, 1, 0, 0, 0]"
3022,tã dùng ok giá mềm size to hãng khác dùng thích,"[0, 1, 0, 1, 0, 0, 0]"
3023,hàng giao đúng hạn thông_báo bao_bì đóng_gói chuẩn hàng ok,"[1, 0, 0, 1, 0, 0, 0]"
3024,mỏng mùi khó_chịu ý trc mk mua kp mùi thôi tạm đc,"[0, 0, 0, 1, 0, 0, 0]"
3025,bình thường thôi giữ nhiệt bao_lâu,"[0, 0, 0, 0, 0, 0, 1]"
3026,bỉm thấm hút tốt giao hàng nhanh đóng_gói cẩn_thận,"[1, 0, 0, 1, 0, 0, 0]"
3027,giao hàng nhanh nhân_viên nhiệt_tình vui_vẻ hàng tốt tiếp_tục ủng_hộ,"[1, 0, 0, 1, 0, 0, 0]"
3028,đóng_gói j dk kĩ nhận dk hang dsax bong túi_bóng r sp dùng biết,"[0, 0, 0, 0, 0, 0, 0]"
3029,hàng chính_hãng đợt mua tặng kèm 6 miếng túi giá mềm giá nguyên hài_lòng mua healthcare giao hàng nhanh tối cn đặt trưa t2 giao,"[1, 1, 1, 0, 0, 0, 0]"
3030,giao hàng nhanh_chóng đóng_gói cẩn_thận,"[1, 0, 0, 0, 0, 0, 0]"
3031,em đặt e thanh_toán tiền ạ e muốn đổi size l68 đc ạ,"[0, 0, 0, 0, 0, 0, 0]"
3032,hàng tốt ủng_hộ tiếp giá đầu năm mới hoei cao nhỉ,"[0, 1, 0, 1, 0, 0, 0]"
3033,sản_phẩm tốt giao hàng nhiệt_tình thích,"[1, 0, 0, 1, 0, 0, 0]"
3034,giá sale tốt,"[0, 1, 0, 0, 0, 0, 0]"
3035,cật nhật mẫu mới nhất quà tặng gấu bông sư_tử lỗi ở đường may,"[0, 0, 0, 1, 1, 0, 0]"
3036,sản_phẩm tuyệt_vời,"[0, 0, 0, 0, 0, 0, 1]"
3037,rẻ hiện số mua ở cửa_hàng hàng chất_lượng thưong hiệu ủng_hộ lâu_dài full 5 nhé,"[0, 1, 0, 1, 0, 0, 0]"
3038,giá cao mã giảm_giá tốt giá cao mã giảm_giá tốt,"[0, 1, 0, 0, 0, 0, 0]"
3039,rẻ giá ngoài chợ nhận hàng nhanh ủng_hộ,"[1, 1, 0, 0, 0, 0, 0]"
3040,bảo_quản hàng kém sản_phẩm vệ_sinh bé vỏ ngoài bẩn kinh_khủng lau biết hết bao_nhiêu giấy đen xì giấy,"[0, 0, 0, 0, 0, 0, 0]"
3041,sản_phẩm dùng thích da hay di ứng loại mỹ_phẩm dùng thích,"[0, 0, 0, 0, 0, 0, 0]"
3042,hài_lòng về sản_phẩm,"[0, 0, 0, 0, 0, 0, 1]"
3043,giao hàng nhanh sản_phẩm ok,"[1, 0, 0, 1, 0, 0, 0]"
3044,bỉm y hình giao hàng nhanh,"[1, 0, 1, 0, 0, 0, 0]"
3045,hoan toan hai_long voi dich vu cua va chat luong san pham,"[0, 0, 0, 1, 1, 0, 0]"
3046,nhận hàng chec mã chính_hãng nsx moi tháng 9 tháng 10 2020 sinh dùng biết bé hợp ncl ưng,"[0, 0, 1, 0, 0, 1, 0]"
3047,mua thứ 3 cực_kì thất_vọng về cách gói hàng hề hộp hay đơn_giản nhất xốp giảm sốc quấn nilong xung_quanh m nhận đc hộp sữa móp méo luôn ạ,"[1, 0, 0, 1, 0, 0, 0]"
3048,hàng chính_hãng giá mềm sữa tốt con tốt thích uống ủng_hộ,"[0, 1, 1, 1, 0, 0, 0]"
3049,hài_lòng sản_phẩm hàng tặng kèm đúng trong hình,"[0, 0, 1, 0, 1, 0, 0]"
3050,nay mua bich huk ạ,"[0, 0, 0, 0, 0, 0, 0]"
3051,hài_lòng về chất_lượng_giáo hàng nhanh date mới,"[1, 0, 0, 1, 0, 1, 0]"
3052,sữa thơm dễ uống bé nhà thích uống đầu mua hộp 400 gam bé chịu hợp_tác như_vậy vui đặt mua bé uống biết đến sữa care 100 lời giới_thiệu bạn,"[0, 0, 0, 1, 0, 0, 0]"
3053,hàng chính_hãng,"[0, 0, 1, 0, 0, 0, 0]"
3054,giao hàng nhanh đóng_gói đẹp chắc_chắn nha shipper thân_thiện,"[1, 0, 0, 0, 0, 0, 0]"
3055,tràn ngoài vón cục,"[0, 0, 0, 1, 0, 0, 0]"
3056,che giu ấm sua 40 sai the nao vay minh chinh nut giu am no chay den roi tắt xong sữa ngui ngắt,"[0, 0, 0, 0, 0, 0, 0]"
3057,hàng date mới giá tốt giao hàng nhanh nhân_viên nhiệt_tình,"[1, 1, 0, 0, 0, 1, 0]"
3058,bé nhà dùng hugies hăm chuyển sang dùng tốt hăm giá m rẻ mua 4b bé dùng dần,"[0, 1, 0, 0, 0, 1, 0]"
3059,sản_phẩm giống mô_tả thời_gian giao hàng hoi lâu,"[1, 0, 1, 0, 0, 0, 0]"
3060,tã xịn loại mới đóng đêm tràn thít bụng tin_dùng pamper,"[0, 0, 0, 1, 0, 0, 0]"
3061,y mô_tả,"[0, 0, 1, 0, 0, 0, 0]"
3062,sản_phẩm mới size lớn đệm lưng mềm_mại bé size tả đúng tiêu_chuẩn,"[0, 0, 0, 1, 0, 0, 0]"
3063,mìn check thử mã_vạch bát thông_tin về sp bịch xl vỏ bao mềm mịn bịch l hoàn_toàn khác nhìn cũ_kỹ,"[0, 0, 1, 1, 0, 0, 0]"
3064,la tôi hay ưu_tiên mua hàng online giao hàng nhanh đóng_gói kỹ sản_phẩm dùm bé hay to đóng_gói sữa nước ngọt con tôi thích giá mềm bên ngoài,"[1, 1, 0, 1, 0, 0, 0]"
3065,giao hàng nhanh giá tốt,"[1, 1, 0, 0, 0, 0, 0]"
3066,sản_phẩm hợp giá tiền chất_liệu ok ủng_hộ tiếp,"[0, 1, 0, 1, 0, 0, 0]"
3067,ít mùi đc phần chun bỉm mềm hằn da bé chắc bé cảm_thấy thoải_mái,"[0, 0, 0, 1, 0, 0, 0]"
3068,nhìn_chung ổn vận_chuyển nhanh mong tiếp_tục phát_huy,"[1, 0, 0, 0, 0, 0, 0]"
3069,qà xinh ơi_là xinh bộ bếp bé nhà thci1h lắm quà khác kg mua thay đồi quà bé á,"[0, 0, 0, 0, 1, 0, 0]"
3070,dùng thích sản_phẩm tốt ủng_hộ,"[0, 0, 0, 1, 0, 0, 0]"
3071,ghi bao_bì mới bỉm bẩn cũ sản_xuất t42019 mua hàng thế_này thất_vọng đặt mấy đơn giờ huỷ đc mới buồn,"[0, 0, 0, 0, 1, 1, 0]"
3072,tả mỏng thấm hút tốt,"[0, 0, 0, 1, 0, 0, 0]"
3073,giao hàng đúng hẹn sản_phẩm đảm_bảo bé nhà dùng ưng,"[1, 0, 0, 1, 0, 0, 0]"
3074,hộp gỗ xinh_xắn chắc_chắn giá 46k nghĩ rẻ,"[0, 0, 0, 0, 0, 0, 0]"
3075,giai hàng nhanh,"[1, 0, 0, 0, 0, 0, 0]"
3076,_,"[0, 0, 0, 0, 0, 0, 0]"
3077,tả mềm nhẹ mỏng lưng ít thun chắc bé lớn chút mới mặc,"[0, 0, 0, 1, 0, 0, 0]"
3078,đóg gói sơ xài hộp méo giao hàg chú_ý cẩn_thận sữa bung nắp vỡ sữa,"[0, 0, 0, 0, 1, 0, 0]"
3079,hàng giao nhanh nhân_viên giao hàng kẹp hàng háng gây khó_chịu,"[1, 0, 0, 0, 0, 0, 0]"
3080,date xa mua hàng lúc_nào hài_lòng sản_phẩm chất_lượng tiếp_tục mua huggies dài_dài,"[0, 0, 0, 1, 0, 1, 0]"
3081,đóng_gói đơn_giản tem đamr bảo dùng biết chất_lượng,"[1, 0, 1, 0, 0, 0, 0]"
3082,mới sd đầu tè bỉm chảy xệ,"[0, 0, 0, 1, 0, 0, 0]"
3083,tả tốt phục_vụ tốt quà giao quà đến ta đến,"[0, 0, 0, 1, 1, 0, 0]"
3084,sp chất_lượng,"[0, 0, 0, 1, 0, 0, 0]"
3085,sản_phẩm tốt đóng_gói cẩn_thận móp trong quá_trình vận_chuyển,"[1, 0, 0, 1, 0, 0, 0]"
3086,giao hang nhanh dong goi can than bim mong nhe tham hut tot,"[1, 0, 0, 1, 0, 0, 0]"
3087,lừa_đảo đặt_hàng hiển_thị quà tặng kèm đến nhận hàng quà tặng gọi điện khiếu_nại bảo chụp màn_hình làm_chứng,"[0, 0, 0, 0, 1, 0, 0]"
3088,tạm đc màu_sắc ok,"[0, 0, 0, 0, 0, 0, 1]"
3089,giao hàng nhanh đóng_gói cẩn_thận tả bobby loại lưng hút mồ_hôi thoáng bé vận_động thoải_mái,"[1, 0, 0, 1, 0, 0, 0]"
3090,giao hàng nhanh_chóng mặt sản_phẩm tốt,"[1, 0, 0, 1, 0, 0, 0]"
3091,hài_lòng nhé,"[0, 0, 0, 0, 0, 0, 1]"
3092,đóng_gói đẹp giao hàng nhanh_chóng fan lâu_dài,"[1, 0, 0, 0, 0, 0, 0]"
3093,tả giữ form quảng_cáo mặc chút_xíu chảy xệ,"[0, 0, 0, 1, 0, 0, 0]"
3094,tốt va giao hang nhanh phục_vụ tốt thít la khác giờ hết đặt nè,"[1, 0, 0, 1, 0, 0, 0]"
3095,tả tốt giá re,"[0, 1, 0, 1, 0, 0, 0]"
3096,hàng giao y hình đóng_gói cẩn_thận giao hàng nhanh chu_đáo cám_ơn nhé,"[1, 0, 1, 0, 1, 0, 0]"
3097,bt nho lon xai ta o tii con ma lan nay ta mong wa minh thay gjao hang cung la nua minh noi la mjnh co du tien i mjnh bua ma co ng chạy vội vô nhà gjao hàng ma lam nhu nguoi ta lay zay,"[0, 0, 0, 0, 0, 0, 0]"
3098,sản_phẩm tốt mềm thấm hút thích boby hugies giá_thành đắt hy_vọng giá tốt _nữa ok,"[0, 1, 0, 1, 0, 0, 0]"
3099,tả thấm hút tương_đối dày bé tè nó dày cộm,"[0, 0, 0, 1, 0, 0, 0]"
3100,bỉm thấm hút tốt tiếp_tục ủng_hộ,"[0, 0, 0, 1, 0, 0, 0]"
3101,sản_phẩm tốt giảm_giá nhờ chương_trình khuyến_mãi,"[0, 1, 0, 1, 1, 0, 0]"
3102,nhận hàng nhanh,"[1, 0, 0, 0, 0, 0, 0]"
3103,ta tham hut tot be luon kho rao mua hang co ma giam gia nen re ngang voi ta quan bobby cung loai,"[0, 1, 0, 1, 0, 0, 0]"
3104,giao hàng nhanh săn sale giá rẻ hàng chất_lượng hài_lòng,"[1, 1, 0, 1, 0, 0, 0]"
3105,giá tốt mẫu mới đẹp bên trong tả đóng bao trắng sạch_sẽ gọn_gàng dù rách bao ngoài lo_ngại bobby cải_tiến ok,"[1, 1, 0, 1, 0, 0, 0]"
3106,bỉm dùng thích giá_cả hợp_lý giao hàng nhanh,"[1, 1, 0, 1, 0, 0, 0]"
3107,sản_phẩm chất_lượng tốt đóng_gói cẩn_thận đặc_biệt giao hàng nhanh shipber nhiệt_tình ủng_hộ lâu_dài,"[1, 0, 0, 1, 0, 0, 0]"
3108,lưng quần cực_kì mềm_mại bé mặc vết hằn bỉm phân_biệt trước_sau thuận_tiện mẹ êm_ái bé giao hàng nhanh báo thứ 7 mới giao thứ 4 đi làm về,"[1, 0, 0, 1, 0, 0, 0]"
3109,mua tã bobby đầu mã giảm_giá giảm 0 giá giảm tốt mua một 3 gói luôn tã con dùng mới sinh tới giờ trải size dừng ở size xl tã thấm hút tốt thun co_giãn làm đau bé hiện ngày bé xài 4 miếng thôi bé 9 tháng,"[0, 1, 0, 1, 0, 0, 0]"
3110,ok ak tả sản_xuất 1772020 hàng mới tốt giao đúng hẹn giá tính rẻ mua ở tạp_hoá gần nhà dc 100k có_điều giá_cả thay_đổi liên_tục người mua lưu_ý,"[1, 1, 0, 1, 0, 1, 0]"
3111,ok sữa ngon,"[0, 0, 0, 1, 0, 0, 0]"
3112,nhận hàng nhanh mới thử thương_hiệu size lớn dùng xem chất_lượng ntn,"[1, 0, 0, 0, 0, 0, 0]"
3113,giao hàng cực nhanh tới 24h giao đến dù ở xa sp tã sử_dụng đánh_giá đc,"[1, 0, 0, 0, 0, 0, 0]"
3114,bề_mặt tả mềm_mại thấm hút ở mức trung_bình thôi cao thích nhất chuyển huggies sang bobby lưng thun hằn chặt băng_dính cuốn tả tiện bobby thường_xuyên tặng quà điểm thu_hút,"[0, 0, 0, 1, 1, 0, 0]"
3115,giao quà tặng đúng hết,"[0, 0, 0, 0, 1, 0, 0]"
3116,khuyên chân_thành đừng mua,"[0, 0, 0, 0, 0, 0, 1]"
3117,ta sử_dụng ok gia tốt tiết_kiệm,"[0, 1, 0, 1, 0, 0, 0]"
3118,hàng xài ok lắm,"[0, 0, 0, 0, 0, 0, 1]"
3119,sản_phẩm dùng tốt bé nhà tôi dùng toàn sản_phẩm huggies phàn_nàn bạn mua nó về dùng bé sp đóng_gói đẹp giao hàng nhanh tuyêt vời,"[1, 0, 0, 1, 0, 0, 0]"
3120,sản_phẩm tốt chất_lượng giao hàng nhanh đóng_gói đẹp,"[1, 0, 0, 1, 0, 0, 0]"
3121,giao hàng nhanh gia re,"[1, 1, 0, 0, 0, 0, 0]"
3122,san pham tot kich co phu hop tot tot tot tot tot tot,"[0, 0, 0, 0, 0, 0, 0]"
3123,chất_lượng uy_tín ok,"[0, 0, 1, 1, 0, 0, 0]"
3124,tã mềm thấm hút tốt giao hàng nhanh hàng chính_hãng mọi ng yên_tâm nhé,"[1, 0, 1, 1, 0, 0, 0]"
3125,bỉm mềm giá rẻ vs merries dùng chất_lượng thể chê đc ️,"[0, 1, 0, 1, 0, 0, 0]"
3126,quần bỉm dày mỏng thấm hút,"[0, 0, 0, 1, 0, 0, 0]"
3127,sản_phẩm dùng ok mùi nồng khả_năng thấm hút tốt,"[0, 0, 0, 1, 0, 0, 0]"
3128,tốt hài_lòng ủng_hộ lâu_dài nè thanks,"[0, 0, 0, 0, 0, 0, 1]"
3129,sx 1120 o hay lỗi lưu ho xuất hàng chec date dùng đêm vón hay ẩm mông giá cao,"[0, 1, 0, 1, 0, 0, 0]"
3130,mua đc giá sale 300k 4 bịch rẻ giá thị_trường,"[0, 1, 0, 0, 0, 0, 0]"
3131,con hay dùng loại tã thấm hút tốt mặc mùa hè nóng mới bí toàn đặt tã rẻ ở ngoài freeship,"[1, 1, 0, 1, 0, 0, 0]"
3132,sản_phẩm đúng mô_tả dịch_vụ now giao hàng nhanh hài_lòng,"[1, 0, 1, 0, 0, 0, 0]"
3133,xem_lại nhân_viên giao hàng nhận hàng _ý về rọc rách bao rách luôn tã bên trong biết rọc làm,"[1, 0, 0, 1, 0, 0, 0]"
3134,hàng ok lắm nha ủng_hộ,"[0, 0, 0, 0, 0, 0, 1]"
3135,sản_phẩm tốt đóng_gói cẩn_thận giao hàng nhanh,"[1, 0, 0, 1, 0, 0, 0]"
3136,đưa hình_mẫu mới đệm mây 4 chiều người ta đặt_hàng xong giao mẫu đệm mây cũ làm_ăn uy_tín hết xưa giờ toàn mua hàng nay thất_vọng nặng_nề nhan bán hình chớ treo đầu dê bán thịt chó,"[0, 0, 0, 0, 0, 0, 0]"
3137,đóng_gói hàng sơ xài dính dán tùm_lum bên ngoài vỏ lon chất_lượng sữa tốt,"[1, 0, 0, 1, 0, 0, 0]"
3138,hàng chất_lượng tốt,"[0, 0, 0, 1, 0, 0, 0]"
3139,hài_lòng giống ảnh,"[0, 0, 0, 0, 0, 0, 1]"
3140,bỉm thấm hút tốt giá_thành rẻ giao hàng nhanh tuy_nhiên lưng thun rộng bỉm nhanh đầy,"[1, 1, 0, 1, 0, 0, 0]"
3141,san pham chat luong,"[0, 0, 0, 1, 0, 0, 0]"
3142,giao hàng nhanh hàng mới đóng_gói cẩn_thận trading giao hàng đảm_bảo,"[1, 0, 0, 0, 1, 0, 0]"
3143,mua 4 ạ,"[0, 0, 0, 0, 0, 0, 0]"
3144,tã date mới mỏng nhẹ tầm giá xài ok nhé,"[0, 1, 0, 1, 0, 1, 0]"
3145,giao hàng nhanh mẫu mới đẹp đồ_chơi khác hoàn_toàn trong hình tuy_nhiên dễ_thương hy_vọng đăng đúng hình quà tặng tránh gây hụt_hẫng nhận ạ,"[1, 0, 0, 1, 1, 0, 0]"
3146,chăt lượng bỉm ok mềm thấm hút tốt tiếp_tục ủng_hộ,"[0, 0, 0, 1, 0, 0, 0]"
3147,minh thay sai dc giá rẻ be nha mih mặc bi hằn,"[0, 1, 0, 1, 0, 0, 0]"
3148,nhận hàng đúng hình sản_phẩm đúng yêu_cầu giao hàng nhanh,"[1, 0, 1, 0, 0, 0, 0]"
3149,bỉm mùi ghê giống mấy trc mua khác dễ cộm,"[0, 0, 0, 1, 0, 0, 0]"
3150,giao hàng kì tháng hết date ai dám tin_tưởng mua hàng tui câu trã lời,"[0, 0, 0, 0, 0, 1, 0]"
3151,tốt mềm_mại loại tã khác tiếp_tục ủng_hộ,"[0, 0, 0, 1, 0, 0, 0]"
3152,tả quần xài thích đi_tả siêu nhẹ êm mùi tả form to bé 9kg mang m ok quà tặng thích ngựa pony balo xinh_xắn đẹp,"[0, 0, 0, 1, 1, 0, 0]"
