,text,label
43,hộp sữa hơi móp shop đóng_gói lớp chống đập an_toàn,"[1, 0, 0, 0, 0, 0, 0]"
44,2 mua hàng shop ổn giá deal rẻ chỗ hạn rõ_ràng 2 / 2020 trừ 2 / 2023 hàng không móp bung nắp,"[0, 1, 0, 0, 0, 1, 0]"
45,sữa chưa dứt dây nhựa trắng nắp nhựa bụi đen lấm_tấm giao hàng nhanh,"[1, 0, 0, 1, 0, 1, 1]"
46,giao hàng nhanh đóng_gói hàng cẩn_thận date 3 - 2021,"[1, 0, 0, 0, 0, 1, 0]"
47,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm chắc_chắn shop phục_vụ tốt,"[1, 0, 0, 1, 1, 0, 0]"
48,giao hàng nhanh đóng_gói cẩn_thận,"[1, 0, 0, 0, 0, 0, 0]"
49,hạn mới_tinh mua shop,"[0, 0, 0, 0, 0, 1, 0]"
50,chưa chụp tạm ảnh sản gói hàng chắc_chắn kĩ thành rẻ,"[1, 1, 0, 0, 0, 0, 0]"
51,shop đóng_gói sản_phẩm cẩn_thận chắc_chắn giao hàng nhanh_chóng shop phục_vụ tốt,"[1, 0, 0, 0, 1, 0, 0]"
52,bé review 1 tgian,"[0, 0, 0, 0, 0, 0, 1]"
53,laz không phí ship giao hàng 1 shoppe phí giao hàng giao hàng hên chưa sữa mua dự_trữ sẵn trc đợi shop giao đói,"[1, 0, 0, 0, 0, 0, 0]"
54,sữa giá rẻ mua giao hàng siêu nhanh,"[1, 1, 0, 0, 0, 0, 0]"
55,shop giao hàng nhanh như 1 gió,"[1, 0, 0, 0, 0, 0, 0]"
56,thương_hiệu lớn mẫu hộp giấy giúp tiết_kiệm bé đi phân tốt vị ngọt_béo,"[0, 1, 0, 1, 0, 0, 0]"
57,giao hàng nhanh mua shop hàng chuẩn hãng,"[1, 0, 1, 0, 0, 0, 0]"
58,giao hàng nhanh hôm_nay_mai sản_phẩm hàng gốc,"[1, 0, 1, 0, 0, 0, 0]"
59,chưa 5,"[0, 0, 0, 0, 0, 0, 0]"
60,hàng giao nhanhm hạn đóng_gói cẩn_thận mua giá tốt thank_shop,"[0, 0, 0, 0, 0, 0, 0]"
61,chưa chưa biét chhats hi_vọng hàng chuẩn ủng_hộ shop,"[0, 0, 0, 0, 0, 0, 1]"
62,giao hàng siêu nhanh,"[1, 0, 0, 0, 0, 0, 0]"
63,giao hàng đầy_đủ đóng_gói đẹp chắc_chắn không móp méo chưa check code hi_vọng hàng chuẩn,"[1, 0, 0, 0, 0, 0, 0]"
64,giao hàng nhanh date chất_lượng ủng_hộ shop,"[1, 0, 0, 1, 0, 1, 0]"
65,may giao đúng bé bỉm,"[0, 0, 0, 0, 0, 0, 1]"
66,giao hàng tương_đối nhanh chất_lượng chưa chưa review,"[1, 0, 0, 0, 0, 0, 0]"
67,bỉm mềm nhẹ mỏng mặc đêm không tràn vòng ôm bắp_chân hơi lỏng,"[0, 0, 0, 1, 0, 0, 0]"
68,hình video không giao hàng nhanh háo_hức chưa mẫu giao mẫu cũ shop,"[1, 0, 0, 0, 0, 0, 0]"
69,giao hàng nhanh,"[1, 0, 0, 0, 0, 0, 0]"
70,sản_phẩm tốt sản_phẩm tốt sản_phẩm tốt sản_phẩm tốt,"[0, 0, 0, 1, 0, 0, 0]"
71,video hình_ảnh tính_chất xu sp tốt giao hàng nhanh đóng_gói cẩn_thận,"[1, 0, 0, 1, 0, 0, 0]"
72,sua tốt hinh an chi mag tinh_chất nhân xu khanv dinh_dưỡng sưa cug wen chj nak,"[0, 0, 0, 0, 0, 0, 0]"
73,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp chắc_chắn,"[1, 0, 0, 1, 0, 0, 0]"
74,hàng mong 2 mua,"[0, 0, 0, 0, 0, 0, 1]"
75,giao hàng nhanh chiều_hôm_qua hôm hàng,"[1, 0, 0, 0, 0, 0, 0]"
76,mua hàng 2 shop giao hàng nhanh shop nhiệt_tình,"[1, 0, 0, 0, 1, 0, 0]"
77,mua bỉm chỗ chỗ bỉm giá bình_dân oke,"[0, 1, 0, 1, 0, 0, 0]"
78,bỉm ok giao hàng best làm_ăn chán hàng shoppe không thèm giao xong giao hàng thành_công bthg_đơn 1 - 2 đợi mãi ng gọi hàng cập_nhật sdt ship hệ_thống không đúng gọi toàn thuê_bao,"[1, 0, 0, 1, 1, 0, 0]"
79,hộp sữa đẹp không móp hạn mới_tinh như hộp mua cửa_hàng mua tiếp ngon bổ rẻ,"[1, 0, 0, 0, 0, 1, 0]"
80,giao hàng nhanh hy_vọng bé uống hợp ủng_hộ shop,"[1, 0, 0, 0, 0, 0, 0]"
81,hàng giao nhanh đóng_gói gọn hạn,"[1, 0, 0, 1, 0, 1, 0]"
82,sản_phẩm tốt nha shop 5sao nha sản_phẩm chưa chụp,"[0, 0, 0, 1, 0, 0, 0]"
83,gói hàng cẩn_thận giao hàng nhanh giá tốt hảo loại tks shop,"[1, 1, 0, 0, 0, 0, 0]"
84,giao hàng nhanh hy_vọng uống hạp sữa mua tiếp,"[1, 0, 0, 0, 0, 0, 0]"
85,giao hàng nhanh đóng_gói cẩn_thận hàng nhanh đóng_gói cẩn_thận shop,"[1, 0, 0, 0, 0, 0, 0]"
86,hàng đóng_gói kỹ_càng nhân_viên shop không tương_tác,"[1, 0, 0, 0, 1, 0, 0]"
87,hàng tem đầy_đủ chất_lượng chưa kiểm_chứng chua shop giao hàng nhanh ủng_hộ tiếp bé tks shop !,"[1, 0, 1, 0, 0, 0, 0]"
88,giao hàng siêu_tốc mua yên_tâm chất_lượng,"[1, 0, 0, 1, 0, 0, 0]"
89,mua shop tin_tưởng chất gói kĩ giao hàng nhanh,"[1, 0, 0, 1, 0, 0, 0]"
90,giao hàng nhanh đóng_gói cẩn_thận sữa nguyên tem nhãn hạn,"[1, 0, 1, 0, 0, 1, 0]"
91,ván sưa ngon lắm be,"[0, 0, 0, 1, 0, 0, 1]"
92,oke oke ok ủng_hộ,"[1, 0, 0, 1, 0, 0, 0]"
93,mua sữa shop đợt không hài_lòng hộp sữa méo_mó không_thể yêu_thương nổi không hàng méo vận_chuyển 5 mong shop để_ý !,"[1, 0, 0, 0, 1, 0, 0]"
94,giao hàng nhanh_chóng giá_cả hợp_lý mua nheds,"[1, 1, 0, 0, 0, 0, 0]"
95,hàng giao đúng như quảng_cáo ko kịp chụp hình hình đỡ,"[0, 0, 1, 0, 0, 0, 0]"
96,sữa ngon bé ủng_hộ,"[0, 0, 0, 1, 0, 0, 0]"
97,mua không đánh_giá_như : ) hi,"[0, 0, 0, 0, 0, 0, 1]"
98,shop giao hàng nhanh cskh tốt,"[1, 0, 0, 0, 1, 0, 0]"
99,xu mua shop lắm hài_lòng,"[0, 0, 0, 0, 1, 0, 1]"
100,hàng đóng_gói vô_cùng cẩn_thận date giao hơi shop,"[1, 0, 0, 1, 0, 1, 0]"
101,đợt đóng_gói móp 1 hộp kg cấn khâu mua hàng quen ủng_hộ shop,"[1, 0, 0, 0, 0, 0, 0]"
102,chưa dị_ứng loại nổi nốt,"[0, 0, 0, 0, 0, 1, 0]"
103,chất_lượng sản_phẩm tuyệt_vời mua 2 chưa shop thất_vọng ủng_hộ shop dài_dài,"[0, 0, 0, 1, 0, 0, 1]"
104,giao_hành nhanh đóng_gói cẩn_thận hạn chất_lượng sản_phẩm oke,"[1, 0, 0, 1, 0, 1, 0]"
105,shop giao hàng nhanh dong hàng cẩn_thận giao hàng nhanh dong hàng cẩn_thận giao,"[1, 0, 0, 0, 0, 0, 0]"
106,giao hàng siêu nhanh hôm hôm âu ok_oke,"[1, 0, 0, 0, 0, 0, 0]"
107,sữa thơm sánh bé vị đóng_gói cẩn_thận giao hàng không nhanh lắm,"[1, 0, 0, 1, 0, 0, 0]"
108,giao hàng đầy_đủ không sót đóng_gói cẩn_thận giao hàng nhanh,"[1, 0, 0, 0, 0, 0, 0]"
109,hàng chất_lượng đảm_bảo hàng hãng giao hàng nhanh đóng_gói cẩn_thận,"[1, 0, 1, 1, 1, 0, 0]"
110,giao hàng đủ phẩm như gói cẩn,"[1, 0, 1, 1, 1, 0, 0]"
111,bọc hàng tương_đối đầu mua oke ủng_hộ,"[1, 0, 0, 0, 0, 0, 0]"
112,shop giao hàng nhanh lắm khuya sữa hạn mua giá sale like like tks_shop,"[1, 1, 0, 0, 0, 1, 0]"
113,sp tuyệt k chê ủng_hộ shop dài_dài,"[0, 0, 0, 1, 0, 0, 0]"
114,nho now trừ grab ship ap ma de giao nhanh noi ma van nhe ae,"[0, 0, 0, 0, 0, 0, 0]"
115,mua hàng ưng !,"[0, 0, 0, 0, 0, 0, 1]"
116,sua grow plus tot gia hop ly giao hang nhanh nen mua,"[0, 0, 0, 0, 0, 0, 0]"
117,ủng_hộ shop chất_lượng giá_cả hợp_lý,"[0, 1, 0, 1, 0, 0, 0]"
118,đóng hàng cẩn_thận sản_phẩm oke ủng_hộ shop rẻ shop cửa_hàng 100k,"[1, 1, 0, 1, 0, 0, 0]"
119,sữa tốt mua oke lắm,"[0, 0, 0, 1, 0, 0, 1]"
120,giao hàng rẻ chỗ ủng_hộ shop tiêp,"[1, 1, 0, 0, 0, 0, 0]"
121,hàng mong bé hợp sez ăn ngon ngủ ngon nếu_như_vậy ủng_hộ tiếp,"[0, 0, 0, 0, 0, 0, 1]"
122,shop giao hàng nhanh đóng_gói cẩn_thận ship nhiệt_tình ủng_hộ,"[1, 0, 0, 0, 1, 0, 0]"
123,giao hàng nhanh tem hãng công_ty nhập_khẩu hình_ảnh tính_chất xu quảng_cáo shop 😁,"[1, 0, 1, 0, 0, 0, 0]"
124,hàng chưa chưa đc,"[0, 0, 0, 0, 0, 0, 1]"
125,đóng_gói chắc_chắn giao hàng nhanh,"[1, 0, 0, 0, 0, 0, 0]"
126,ship mắc shop huhu shope không shop,"[1, 1, 0, 0, 0, 0, 0]"
127,mua hàng shop viết phản_hồi : giao hàng nhanh chủ shop thái_độ phục_vụ nhẹ_nhàng nói_chuyện dễ_thương hàng ok chưa lỗi mong_muốn shop cập_nhật mã giảm_giá khách_hàng thân_thiết ưu_đãi,"[1, 0, 0, 1, 1, 0, 0]"
128,mua đóng_gói cẩn_thận,"[1, 0, 0, 0, 0, 0, 0]"
129,sữa thơm uống bé gói hàng cẩn_thận,"[1, 0, 0, 1, 0, 0, 0]"
130,mua !,"[0, 0, 0, 0, 0, 0, 1]"
131,chat luong san pham tot mua cua sh 100h sẽ_ung hộ tipd,"[0, 0, 0, 1, 0, 0, 0]"
132,săn giá sale hài_lòng shop 5 🌟,"[0, 1, 0, 0, 0, 0, 0]"
133,hàng good 👍,"[0, 0, 1, 0, 0, 1, 0]"
134,giao hàng siêu nhanh đóng_gói cẩn_thận hạn xa_tít_tắp ủng_hộ tiếp,"[1, 0, 0, 0, 0, 1, 0]"
135,tèn ten 💘 đôi chị_em mong_chờ lắm e dư hai đôi mê í không hốt kịp chờ 1 tuần ib nha ! đợi tết xinh_đẹp xinh tự_tin_yêu_đời 😍 đeo ngọc ngọc đống mĩ_kí chán,"[0, 0, 0, 0, 0, 0, 0]"
136,mua ưng giao hàng nhanh gói hàng cẩn_thận,"[1, 0, 0, 0, 0, 0, 0]"
137,sữa thơm bé,"[0, 0, 0, 1, 0, 0, 0]"
138,bạn_bè phụ tưới !,"[0, 0, 0, 0, 0, 0, 0]"
139,hàng ok,"[0, 0, 0, 0, 0, 0, 1]"
140,sản_phẩm tốt,"[0, 0, 0, 1, 0, 0, 0]"
141,giao hang siêu nhanh tiếng giao hàng chuẩn ủng_hộ shop lâu_dài,"[1, 0, 1, 0, 0, 0, 0]"
142,giao hàng rẻ chất_lượng hàng rẻ chất_lượng hàng rẻ chất_lượng hàng rẻ chất_lượng shop,"[1, 1, 0, 0, 0, 0, 0]"
143,giao hàng chậm shipper giao hàng nc nghe sữa ok giá_cả hợp_lý,"[1, 1, 0, 1, 1, 0, 0]"
144,sữa fai pha sữa đi giao hàng hàng đẹp cẩn_thận,"[1, 0, 0, 1, 0, 0, 0]"
145,shop giao hàng nhanh đóng_gói cẩn_thận hàng chuẩn giá tốt ủng_hộ shop,"[1, 1, 1, 0, 0, 0, 0]"
146,buồn mã_vạch gạch shop tờ giấy giải_thích mua không gạch k thực_hư ntnao,"[0, 0, 1, 0, 1, 0, 0]"
147,shop bảo bắp chuyên phụ_kiện hàng mĩ_kí chất_lượng đẹp giá_thành rẻ lựa_chọn uy_tín bảo_vệ dế yêu,"[0, 0, 0, 0, 0, 0, 0]"
148,bé thử bé hợp sữa bé lâu_dài,"[0, 0, 0, 0, 0, 0, 1]"
149,shop giao hàng nhanh sữa hạn đóng_gói cẩn_thận ủng_hộ shop tiếp,"[1, 0, 0, 0, 0, 1, 0]"
150,sp tốt sp tốt sp tốt sp tốt sp tốt sp tốt sp tốt sp tốt sp tốt sp tốt,"[0, 0, 0, 0, 0, 0, 0]"
151,sản_phẩm tốt tiện_dụng chất_lượng ổn đóng_gói chắc_chắn giao hàng nhanh,"[1, 0, 0, 1, 1, 0, 0]"
152,giao hàng cực tốt tốt,"[1, 0, 0, 1, 0, 0, 0]"
153,mua lắm r,"[0, 0, 0, 0, 0, 0, 0]"
154,2 mua đồ hàng nhanh đóng_gói cẩn_thận ủng_hộ,"[1, 0, 0, 0, 0, 0, 0]"
155,dung yubest rui không doi loai khac nua vua re vua tot ah,"[0, 1, 0, 1, 0, 0, 0]"
156,mua enfa sale thương_hiệu giá tiết_kiệm miễn_phí vận_chuyển,"[1, 1, 0, 0, 0, 0, 0]"
157,giao hàng siêu nhanh đóng_gói tốt chắc_chắn ok lắm 😆,"[1, 0, 0, 0, 0, 0, 0]"
158,mua,"[0, 0, 0, 0, 0, 0, 1]"
159,mẫu hạn giá sale rẻ đóng_gói cẩn_thận hài_lòng,"[0, 1, 1, 1, 0, 1, 0]"
160,mua shop n oke bàn giá xu ơn shop ạa ảnh tạm,"[0, 0, 0, 1, 0, 0, 0]"
161,hàng đóng_gói cẩn_thận giao hàng hi_vọng sữa chuẩn auth,"[1, 0, 0, 0, 0, 0, 0]"
162,hàng giao nhanh hộp nguyên_vẹn không méo hỏng hạn,"[1, 0, 0, 1, 0, 1, 0]"
163,bánh_ngon sữa hạn bé mua thanks shop,"[0, 0, 0, 1, 0, 1, 0]"
164,sữa uống tốt shop dễ_thương giao hàng nhanh gói hàng kĩ,"[1, 0, 0, 1, 1, 0, 0]"
165,sản_phẩm_giá tốt,"[0, 1, 0, 0, 0, 0, 0]"
166,meiji infant formula ít 30 % hàm_lượng ghi infant formula ít 30 % hàm_lượng ghi infant formula ít 30 % hàm_lượng ghi nhãn,"[0, 0, 0, 1, 0, 0, 0]"
167,uy_tín nhiệt_tình kín 😄,"[0, 0, 0, 0, 0, 0, 1]"
168,ha tc,"[0, 0, 0, 0, 0, 0, 0]"
169,không nắp xanh giao nhanh,"[1, 0, 0, 0, 1, 0, 0]"
170,mua nhìu shop sản_phẩm oke đúng chuẩn tội phí ship vận_chuyển hcm,"[1, 0, 1, 0, 0, 0, 0]"
171,giao hàng nhanh mua cực tốt mua shop phút,"[1, 0, 0, 1, 0, 0, 0]"
172,chất_lượng tốt giao hàng nhanh_trừ đủ shop nhiệt_tình dễ_thương ❤ ️ ❤ ️ ❤ ️,"[1, 0, 0, 1, 1, 0, 0]"
173,bỉm tốt giá rẻ hình_ảnh mag tính_chất câu xu 12345 ✌,"[0, 1, 0, 1, 0, 0, 0]"
174,đúng như huhu ngậy béo hơi ngấy,"[0, 0, 0, 1, 0, 0, 0]"
175,hàng toàn hạn cũ lưu_ý !,"[0, 0, 0, 1, 0, 1, 0]"
176,đóng_gói kĩ giao hơi ch bt chất_lượng,"[0, 0, 0, 0, 0, 0, 1]"
177,hộp sữa méo hi_vọng chất_lượng sản_phẩm không shop lưu hả khâu đóng hàng,"[1, 0, 0, 0, 1, 0, 0]"
178,😜 chào shop chuyên hàng auth tuồn quảng_châu xuất xịn 😻 mời ghé đồ nha,"[0, 0, 0, 0, 0, 0, 0]"
179,hà_nội giao hcm 3 đc giá ok shop gói kĩ không chụp hình tính_chất xu cám_ơn shop,"[1, 1, 0, 0, 0, 0, 0]"
180,sản_phẩm sữa chất_lượng tốt chưa kiểm_tra códe sản_phẩm chưa phản_hồi sữa ngon_ngọt nhẹ,"[0, 0, 0, 1, 0, 0, 0]"
181,hàng chuẩn hạn mua mấy shop 2 hộp móp 2 shop bọc chống sốc chắc_chắn không móp,"[1, 0, 1, 0, 0, 1, 1]"
182,cf cốt dừa 50 sữa_tươi 50 cốt dừa 40 sữa đặc 10 sỉu 30 sữa đặc 60 sữa múc đá 300ml -> shake đổ cốc 40 cf múc ít đá -> shake đổ b1,"[0, 0, 0, 0, 0, 0, 0]"
183,mặc toàn trào hàng không chuẩn rôi,"[0, 0, 1, 1, 0, 0, 0]"
184,giao hàng nhanh đóng_gói sản_phẩm cẩn_thận hình_ảnh không chúc shop đk hàng,"[1, 0, 0, 0, 0, 0, 0]"
185,shop đóng_gói cẩn thẩn sữa tem chống hàng giả mua,"[1, 0, 1, 0, 0, 0, 0]"
186,đủ hàng bé váng sữa mua bé ahop,"[0, 0, 0, 1, 0, 0, 0]"
187,giao hàng nhanh chất_lượng bỉm tốt ủng_hộ shop giá tốt,"[1, 1, 0, 1, 0, 0, 0]"
188,ok check mã_vạch giao hàng hoi ổn,"[1, 0, 1, 0, 0, 0, 0]"
189,mua 2 hop móp het luon,"[1, 0, 0, 0, 0, 0, 0]"
190,sữa mịn thơm mua shop không hàng không móp méo giao hàng nhah shop,"[0, 0, 0, 1, 0, 0, 0]"
191,shop rẻ m mua quán đóng_gói hàng cẩn_thận hi_vọng hàng chuẩn mua tiếp,"[1, 1, 0, 0, 0, 0, 0]"
192,giao hàng nhanh ghê_gớm sản_phẩm hạn ngửi vỏ thơm,"[1, 0, 0, 1, 0, 1, 0]"
193,mua hàng shop hàng chuẩn,"[0, 0, 1, 0, 0, 0, 0]"
194,mua hàng oke cám_ơn shop ủng_hộ,"[0, 0, 0, 1, 0, 0, 0]"
195,chất_lượng sản_phẩm tốt đóng_gói chắc_chắn phục_vụ tốt giao hàng hơi,"[1, 0, 0, 1, 1, 0, 0]"
196,hbvxdhj_bcdsfj,"[0, 0, 0, 0, 0, 0, 0]"
197,giao hàng nhanh đóng_gói hàng chắc_chắn hộp sữa móp shop dán băng_keo hơi hình_như_không đều mua shop giao hạn,"[1, 0, 0, 0, 1, 0, 0]"
198,ok mua 10 hàng oke,"[0, 0, 0, 1, 0, 0, 0]"
199,da_nhan hang xai cung tam duoc mg jntsale khong ap dung duoc,"[0, 0, 0, 0, 0, 0, 0]"
200,chât lương goi đẹp ủng_hộ @,"[1, 0, 0, 1, 0, 0, 0]"
201,mua 1 lon bé mua shop đúng hàng hạn,"[0, 0, 1, 0, 0, 1, 0]"
202,hàng đóng_gói đẹp,"[1, 0, 0, 0, 0, 0, 0]"
203,mua đầu shop nha - chất_lượng chuẩn mua tiếp kí lô hem,"[0, 0, 0, 0, 0, 0, 0]"
204,sản_phẩm tem hãng shop phục_vụ tốt đóng hàng nhanh gửi hàng nhanh,"[1, 0, 1, 0, 1, 0, 0]"
205,giao hàng hơi chậm xíu bù_lại mẫu hạn ủng_hộ lâu_dài,"[1, 0, 0, 1, 0, 1, 0]"
206,giao hàng siêu nhanh hài_lòng sản_phẩm ủng_hộ shop,"[1, 0, 0, 1, 0, 0, 0]"
207,shop giao hàng nhanh tạm ảnh shop gói hàng cẩn_thận mua ak,"[1, 0, 0, 0, 0, 0, 0]"
208,mua,"[0, 0, 0, 0, 0, 0, 0]"
209,giao hàng nhanh mua 2 hài_lòng giá rẻ ủng_hộ tiếp,"[1, 1, 0, 0, 0, 0, 0]"
210,hộp nguyên_vẹn giao hàng hơi chậm tí bé uống sữa 1,"[1, 0, 0, 0, 0, 0, 0]"
211,giao hàng nhanh giá rẻ hon n,"[1, 1, 0, 0, 0, 0, 0]"
212,chất_lượng sản_phẩm hàng đóng_gói cẩn shop phát_triển !,"[1, 0, 0, 1, 0, 0, 0]"
213,tóc đẹp như,"[0, 0, 0, 1, 0, 0, 0]"
214,bỉm mềm mỏng giá_cả oke mom thay liên_tục 😉 tầm 2h30 trừ 3h thay 1 r,"[0, 1, 0, 1, 0, 0, 0]"
215,ưng tốtg,"[0, 0, 0, 1, 0, 0, 0]"
216,sản_phẩm tốt đóng_gói chắc_chắn giá_cả hợp_lý mua i love you,"[1, 1, 0, 1, 0, 0, 0]"
217,hàng giao nhanh chất_lượng tốt,"[1, 0, 0, 1, 0, 0, 0]"
218,bỉm angel mềm_mỏng mua rùi shop giá tốt hàng nhanh,"[1, 1, 0, 1, 0, 0, 0]"
219,lắm 1 khg móp shop phục_vụ tốt,"[1, 0, 0, 0, 0, 0, 0]"
220,thất_vọng sale lớn 9 / 9 để_dành mua 1 không ngờ để_dành sữa chờ giao sợ đầu dự hàng 12 14 18 nhập kho 13 1 tình : ) chấp_nhận chờ không có_nghĩa_là như v,"[1, 0, 0, 0, 0, 0, 0]"
221,mua sữa shop shop bọc cẩn_thận sốp,"[1, 0, 0, 0, 0, 0, 0]"
222,hàng lon sữa dán keo dơ mất thẩm_mỹ không shop dán ?,"[1, 0, 0, 0, 0, 0, 1]"
223,oke đầu đuôi ngon ngon ơn shop lắm,"[0, 0, 0, 0, 0, 0, 1]"
224,giao hàng nhanh hộp giấy chất_lượng shop 5 !,"[1, 0, 0, 1, 0, 0, 0]"
225,giao hàng siêu nhanh shop tv nhiệt_tình shop 5 ủng_hộ shop dài_dài,"[1, 0, 0, 0, 1, 0, 0]"
226,date chất_lượng sản_phẩm tuyệt_vời đóng_gói chắc_chắn !,"[1, 0, 0, 1, 0, 0, 0]"
227,hộp sữa bung shop bọc sản_phẩm kĩ va_đập,"[1, 0, 0, 0, 0, 0, 0]"
228,shop gói hàng cẩn_thận mua ưng ủng_hộ,"[1, 0, 0, 1, 0, 0, 0]"
229,vận_chuyển hơi kém sản_phẩm móp,"[1, 0, 0, 0, 0, 0, 0]"
230,sữa thơm hơi nhạt không mua pha milo úc hạn chuẩn shop tận_tình giao hàng nhanh đóng_gói ổn mong chiều cân shop sữa uống vòng ?,"[1, 0, 0, 0, 1, 1, 0]"
231,giao hàng nhanh đóng_gói cẩn_thận ủng_hộ dài_dài 🌹,"[1, 0, 0, 0, 0, 0, 0]"
232,giao hàng nhanh hàng chất_lượng giá mua,"[1, 1, 0, 1, 0, 0, 0]"
233,đóng hàng cận thận,"[1, 0, 0, 0, 0, 0, 0]"
